id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,focused
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,peaceful
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,energetic
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010,dreamy
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000,nostalgic
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2010,melancholic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,61,2020,focused
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020,uplifting
11,Block Party Anthem,Street Kings,hip-hop,happy,0.85,138,0.78,0.91,0.08,88,2020,euphoric
12,Late Night Drive,Velvet Silk,r&b,moody,0.55,88,0.62,0.70,0.30,76,2010,melancholic
13,Morning Sonata,Clara Voss,classical,calm,0.18,52,0.73,0.22,0.97,42,1990,peaceful
14,Electric Rush,Pulse Engine,edm,intense,0.95,145,0.66,0.94,0.03,82,2020,energetic
15,Back Porch Summer,Dusty Roads,country,relaxed,0.44,96,0.82,0.61,0.74,55,2000,nostalgic
16,River Song,Cedar Hill,folk,chill,0.30,84,0.77,0.49,0.93,48,2010,peaceful
17,Island Groove,Sunshine Tap,reggae,happy,0.60,102,0.88,0.75,0.55,67,2000,uplifting
18,Iron Storm,Voidcrusher,metal,intense,0.97,168,0.31,0.58,0.06,63,2010,aggressive
